idade,sigla_uf,numero_membros_familia,renda_mensal_todas_fontes_deflacionado,renda_mensal_familia_deflacionado,frequenta_escola,anos_estudo,serie_frequentada,grau_frequentado,sexo,raca_cor
11,RS,,,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,1,8
11,MG,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,1,4
11,BA,,28.0,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,0,8
11,SC,,,,1,6,7,1,1,2
11,RJ,,112.0,,1,6,7,1,0,8
11,GO,,,,1,6,7,1,0,8
11,PR,,,,1,6,7,1,1,2
11,PR,,,,1,6,7,1,0,8
11,PR,,,,1,6,7,1,0,2
11,BA,,,,1,6,7,1,1,2
11,CE,,,,1,6,7,1,0,2
11,CE,,,,1,6,7,1,0,2
11,PA,,,,1,6,7,1,1,8
11,PA,,,,1,6,7,1,0,8
11,RS,,,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,1,2
11,RS,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,1,2
11,GO,,,,1,6,7,1,1,2
11,RS,,,,1,6,7,1,0,2
11,AC,,133.0,,1,6,7,1,1,8
11,RO,,,,1,6,7,1,0,8
11,AL,,,,1,6,7,1,1,8
11,AL,,,,1,6,7,1,0,8
11,SC,,,,1,6,7,1,1,4
11,SC,,,,1,6,7,1,0,2
11,MT,,,,1,6,7,1,1,2
11,PE,,,,1,6,7,1,0,8
11,MG,,,,1,6,7,1,1,2
11,BA,,,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,0,8
11,SP,,,,1,6,7,1,0,8
11,SP,,,,1,6,7,1,0,8
11,SP,,,,1,6,7,1,1,8
11,SP,,,,1,6,7,1,0,2
11,MA,,,,1,6,7,1,1,8
11,MA,,,,1,6,7,1,0,8
11,PB,,,,1,6,7,1,0,2
11,DF,,,,1,6,7,1,0,2
11,SC,,594.0,,1,6,7,1,1,2
11,PR,,,,1,6,7,1,1,2
11,PR,,,,1,6,7,1,0,2
11,PR,,,,1,6,7,1,0,8
11,PE,,,,1,6,7,1,1,8
11,PE,,,,1,6,7,1,1,8
11,PE,,,,1,6,7,1,1,2
11,BA,,178.0,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,1,4
11,MS,,,,1,6,7,1,1,8
11,DF,,,,1,6,7,1,0,8
11,CE,,,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,0,2
11,AM,,,,1,6,7,1,1,2
11,DF,,,,1,6,7,1,0,2
11,DF,,,,1,6,7,1,0,8
11,DF,,,,1,6,7,1,1,2
11,RO,,,,1,6,7,1,0,2
11,RO,,,,1,6,7,1,0,2
11,AM,,,,1,6,7,1,1,8
11,MA,,,,1,6,7,1,0,4
11,DF,,,,1,6,7,1,0,2
11,DF,,,,1,6,7,1,0,2
11,DF,,,,1,6,7,1,1,2
11,PA,,,,1,6,7,1,0,8
11,CE,,,,1,6,7,1,1,2
11,PE,,,,1,6,7,1,1,8
11,PE,,,,1,6,7,1,1,8
11,RJ,,,,1,6,7,1,1,8
11,RS,,,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,1,8
11,RS,,,,1,6,7,1,1,2
11,GO,,,,1,6,7,1,1,2
11,BA,,,,1,6,7,1,0,2
11,BA,,,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,1,4
11,BA,,,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,1,4
11,BA,,,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,1,8
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,0,8
11,CE,,,,1,6,7,1,1,2
11,CE,,,,1,6,7,1,0,8
11,CE,,,,1,6,7,1,0,2
11,PR,,,,1,6,7,1,1,8
11,PA,,,,1,6,7,1,0,2
11,GO,,,,1,6,7,1,0,2
11,GO,,,,1,6,7,1,0,8
11,PE,,,,1,6,7,1,0,2
11,RJ,,,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,0,2
11,BA,,,,1,6,7,1,0,8
11,MA,,28.0,,1,6,7,1,0,8
11,CE,,,,1,6,7,1,0,8
11,RN,,,,1,6,7,1,0,8
11,RN,,,,1,6,7,1,0,2
11,MA,,,,1,6,7,1,1,2
11,AL,,91.0,,1,6,7,1,1,8
11,AC,,,,1,6,7,1,0,8
11,AL,,,,1,6,7,1,0,8
11,PB,,,,1,6,7,1,1,8
11,AM,,,,1,6,7,1,0,2
11,AM,,,,1,6,7,1,0,8
11,SC,,,,1,6,7,1,1,2
11,DF,,,,1,6,7,1,0,2
11,DF,,,,1,6,7,1,1,2
11,PB,,,,1,6,7,1,0,2
11,PI,,,,1,6,7,1,0,2
11,RR,,,,1,6,7,1,0,8
11,AC,,,,1,6,7,1,0,8
11,AC,,,,1,6,7,1,0,8
11,AM,,,,1,6,7,1,1,8
11,AM,,,,1,6,7,1,0,8
11,SC,,,,1,6,7,1,1,2
11,SC,,,,1,6,7,1,0,2
11,PA,,,,1,6,7,1,0,2
11,PA,,,,1,6,7,1,0,2
11,CE,,,,1,6,7,1,0,8
11,CE,,,,1,6,7,1,1,8
11,RS,,,,1,6,7,1,0,2
11,MA,,,,1,6,7,1,0,8
11,RO,,,,1,6,7,1,0,8
11,DF,,,,1,6,7,1,1,2
11,DF,,,,1,6,7,1,1,2
11,MT,,,,1,6,7,1,0,8
11,MT,,,,1,6,7,1,1,2
11,MT,,,,1,6,7,1,0,8
11,MT,,133.0,,1,6,7,1,0,8
11,MT,,,,1,6,7,1,0,2
11,PB,,24.0,,1,6,7,1,1,8
11,AM,,,,1,6,7,1,1,8
11,RN,,,,1,6,7,1,1,8
11,RN,,,,1,6,7,1,1,8
11,MT,,,,1,6,7,1,0,8
11,DF,,,,1,6,7,1,0,2
11,PB,,,,1,6,7,1,1,2
11,AC,,,,1,6,7,1,1,8
11,SC,,473.0,,1,6,7,1,0,2
11,RO,,,,1,6,7,1,0,8
11,AM,,,,1,6,7,1,1,8
11,AM,,,,1,6,7,1,0,8
11,PR,,,,1,6,7,1,0,2
11,RJ,,,,1,6,7,1,1,8
11,PA,,,,1,6,7,1,0,8
11,PA,,,,1,6,7,1,1,8
11,PA,,,,1,6,7,1,0,2
11,GO,,,,1,6,7,1,0,2
11,GO,,,,1,6,7,1,0,2
11,GO,,,,1,6,7,1,1,8
11,CE,,,,1,6,7,1,1,8
11,PR,,,,1,6,7,1,0,2
11,PR,,,,1,6,7,1,1,2
11,GO,,,,1,6,7,1,1,2
11,PE,,,,1,6,7,1,1,2
11,PE,,,,1,6,7,1,1,2
11,RS,,,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,0,8
11,MG,,,,1,6,7,1,0,8
11,RJ,,,,1,6,7,1,0,2
11,RJ,,,,1,6,7,1,1,8
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,1,2
11,RS,,,,1,6,7,1,0,2
11,SP,,309.0,,1,6,7,1,0,2
11,SE,,,,1,6,7,1,0,2
11,AC,,,,1,6,7,1,0,8
11,ES,,,,1,6,7,1,0,8
11,MA,,,,1,6,7,1,0,8
11,MA,,,,1,6,7,1,0,2
11,MA,,74.0,,1,6,7,1,1,8
11,RO,,,,1,6,7,1,1,8
11,AL,,,,1,6,7,1,1,8
11,AL,,,,1,6,7,1,1,2
11,DF,,,,1,6,7,1,1,2
11,DF,,,,1,6,7,1,1,8
11,MT,,,,1,6,7,1,0,2
11,AM,,,,1,6,7,1,0,8
11,MS,,,,1,6,7,1,0,2
11,MS,,,,1,6,7,1,0,2
11,PA,,,,1,6,7,1,0,2
11,PA,,,,1,6,7,1,0,8
11,PA,,,,1,6,7,1,0,8
11,PA,,,,1,6,7,1,0,8
11,PR,,,,1,6,7,1,0,2
11,CE,,,,1,6,7,1,1,2
11,DF,,,,1,6,7,1,0,2
11,DF,,,,1,6,7,1,0,8
11,MA,,,,1,6,7,1,1,8
11,ES,,,,1,6,7,1,0,2
11,MT,,,,1,6,7,1,1,8
11,MT,,,,1,6,7,1,1,2
11,PA,,,,1,6,7,1,1,8
11,AP,,,,1,6,7,1,0,8
11,AP,,,,1,6,7,1,1,8
11,RO,,,,1,6,7,1,1,2
11,AC,,740.0,,1,6,7,1,1,8
11,AC,,,,1,6,7,1,1,8
11,AC,,,,1,6,7,1,0,8
11,MA,,,,1,6,7,1,1,8
11,MA,,,,1,6,7,1,0,8
11,PI,,,,1,6,7,1,1,8
11,PI,,,,1,6,7,1,0,8
11,MS,,,,1,6,7,1,0,8
11,MS,,,,1,6,7,1,0,8
11,MT,,,,1,6,7,1,1,8
11,SC,,,,1,6,7,1,0,2
11,SC,,,,1,6,7,1,0,2
11,SE,,,,1,6,7,1,1,8
11,PR,,,,1,6,7,1,0,2
11,PR,,,,1,6,7,1,0,2
11,AM,,,,1,6,7,1,1,2
11,AM,,,,1,6,7,1,0,8
11,AM,,,,1,6,7,1,0,2
11,AM,,,,1,6,7,1,1,8
11,AM,,,,1,6,7,1,0,2
11,GO,,,,1,6,7,1,0,8
11,GO,,,,1,6,7,1,1,8
11,GO,,,,1,6,7,1,0,8
11,GO,,,,1,6,7,1,0,8
11,GO,,,,1,6,7,1,0,2
11,PE,,,,1,6,7,1,0,8
11,PE,,,,1,6,7,1,1,8
11,PE,,,,1,6,7,1,1,8
11,CE,,,,1,6,7,1,1,8
11,CE,,,,1,6,7,1,0,2
11,PA,,,,1,6,7,1,0,8
11,PA,,,,1,6,7,1,0,2
11,BA,,,,1,6,7,1,1,2
11,BA,,,,1,6,7,1,1,8
11,BA,,,,1,6,7,1,0,4
11,BA,,,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,0,4
11,PE,,,,1,6,7,1,0,2
11,GO,,,,1,6,7,1,1,2
11,PR,,,,1,6,7,1,1,2
11,BA,,,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,0,8
11,SP,,,,1,6,7,1,0,2
11,AC,,,,1,6,7,1,1,8
11,AM,,,,1,6,7,1,0,2
11,AM,,,,1,6,7,1,1,2
11,DF,,,,1,6,7,1,1,8
11,PB,,,,1,6,7,1,0,2
11,SE,,,,1,6,7,1,1,8
11,SE,,,,1,6,7,1,0,2
11,MS,,,,1,6,7,1,0,2
11,ES,,,,1,6,7,1,1,2
11,ES,,,,1,6,7,1,1,2
11,ES,,,,1,6,7,1,0,2
11,PA,,,,1,6,7,1,1,2
11,PA,,,,1,6,7,1,0,8
11,PA,,,,1,6,7,1,1,2
11,PA,,125.0,,1,6,7,1,0,8
11,PA,,,,1,6,7,1,0,8
11,SC,,,,1,6,7,1,0,2
11,PE,,,,1,6,7,1,0,8
11,ES,,,,1,6,7,1,1,8
11,ES,,,,1,6,7,1,1,2
11,MA,,,,1,6,7,1,0,2
11,PB,,,,1,6,7,1,1,8
11,MS,,,,1,6,7,1,0,2
11,SC,,,,1,6,7,1,1,2
11,SC,,,,1,6,7,1,1,2
11,PE,,,,1,6,7,1,1,8
11,PR,,,,1,6,7,1,1,2
11,RS,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,1,8
11,PE,,,,1,6,7,1,1,2
11,PE,,,,1,6,7,1,0,2
11,PE,,,,1,6,7,1,0,2
11,RJ,,,,1,6,7,1,0,4
11,RS,,620.0,,1,6,7,1,1,2
11,GO,,,,1,6,7,1,1,8
11,GO,,,,1,6,7,1,1,8
11,GO,,,,1,6,7,1,0,8
11,GO,,,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,0,8
11,BA,,,,1,6,7,1,1,8
11,SP,,,,1,6,7,1,1,8
11,SP,,,,1,6,7,1,0,2
11,PR,,248.0,,1,6,7,1,1,2
11,ES,,,,1,6,7,1,1,8
11,AM,,45.0,,1,6,7,1,0,8
11,MT,,,,1,6,7,1,0,8
11,DF,,,,1,6,7,1,0,2
11,AM,,,,1,6,7,1,1,8
11,PI,,295.0,,1,6,7,1,0,8
11,ES,,,,1,6,7,1,0,8
11,AL,,,,1,6,7,1,1,8
11,MG,,,,1,6,7,1,0,8
11,BA,,35.0,,1,6,7,1,1,2
11,BA,,,,1,6,7,1,1,4
11,BA,,,,1,6,7,1,0,8
11,RS,,,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,0,2
11,RS,,333.0,,1,6,7,1,0,2
11,RS,,,,1,6,7,1,1,2
11,RS,,,,1,6,7,1,0,8
11,PA,,,,1,6,7,1,1,8
11,PA,,,,1,6,7,1,0,8
11,PA,,,,1,6,7,1,1,8
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,0,8
11,SP,,,,1,6,7,1,1,8
11,SP,,,,1,6,7,1,1,2
11,GO,,,,1,6,7,1,0,8
11,GO,,,,1,6,7,1,1,2
11,GO,,,,1,6,7,1,0,8
11,GO,,,,1,6,7,1,0,4
11,CE,,24.0,,1,6,7,1,0,8
11,CE,,,,1,6,7,1,0,8
11,CE,,,,1,6,7,1,1,2
11,CE,,,,1,6,7,1,0,2
11,MG,,,,1,6,7,1,0,8
11,MG,,,,1,6,7,1,0,2
11,PR,,,,1,6,7,1,0,6
11,PR,,,,1,6,7,1,0,2
11,PE,,,,1,6,7,1,0,8
11,PE,,,,1,6,7,1,1,2
11,RJ,,,,1,6,7,1,0,8
11,RJ,,,,1,6,7,1,1,2
11,RS,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,0,2
11,MG,,,,1,6,7,1,1,2
11,MG,,,,1,6,7,1,1,2
11,MA,,151.0,,1,6,7,1,0,8
11,RJ,,,,1,6,7,1,1,2
11,RJ,,,,1,6,7,1,1,2
11,RJ,,,,1,6,7,1,0,2
11,GO,,,,1,6,7,1,1,8
11,GO,,,,1,6,7,1,1,8
11,GO,,,,1,6,7,1,1,8
11,PR,,,,1,6,7,1,0,2
11,PR,,,,1,6,7,1,0,2
11,PR,,,,1,6,7,1,1,2
11,BA,,,,1,6,7,1,1,2
11,MG,,,,1,6,7,1,1,8
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,0,2
11,SP,,320.0,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,1,2
11,SP,,,,1,6,7,1,0,2
11,SP,,,,1,6,7,1,1,2
11,DF,,,,1,6,7,1,1,2
11,SC,,,,1,6,7,1,1,2
11,GO,,,,1,6,7,1,1,2
